alt,XM,ZXN_HPC,FN,FG,SFC,FNqW2,WF,WF_total,St2_W,St2_T,St2_Ts,St2_P,St3_W,St3_T,St3_Ts,St3_P,St5_W,St5_T,St5_Ts,St5_P
3468.8,0.51406,0.71875,0.36073,1.0033,66.88,94.29,0.024126,0.024126,3.8257,279.66,274.73,79.076,3.8257,416.32,410.57,247.39,3.8498,516.74,507.88,83.638
4968.8,0.33906,0.81875,1.0633,1.5235,31.375,251.23,0.033361,0.033361,4.2323,261.75,250.93,58.74,4.2323,445.34,439.58,291.81,4.2657,568.58,554.3,81.994
1968.8,0.68906,0.61875,-0.15423,0.68063,-96.596,-42.348,0.014898,0.014898,3.6419,301.54,298.96,109.63,3.6419,392.74,386.75,219.52,3.6568,447.9,442.95,91.55
2718.8,0.25156,0.76875,0.94956,1.3139,35.752,216.18,0.033948,0.033948,4.3925,273.91,266.86,75.923,4.3925,435.23,429.6,299.42,4.4264,573.7,562.61,95.907
5718.8,0.60156,0.96875,2.1298,3.2277,28.693,370.7,0.061111,0.061111,5.7453,269.18,245.27,62.62,5.7453,510.86,504.86,440.11,5.8064,693.74,674.11,115.96
4218.8,0.076562,0.66875,0.54162,0.60678,44.305,206.05,0.023997,0.023997,2.6286,261.03,257.61,60.149,2.6286,384.94,380.43,177.47,2.6526,575.27,568.13,70.431
1218.8,0.42656,0.86875,1.6964,2.6882,32.653,244.86,0.055391,0.055391,6.9281,290.44,277.77,99.18,6.9281,492.75,486.23,497,6.9835,612.43,596.68,136.89
843.75,0.29531,0.69375,0.55027,0.95307,57.55,135.98,0.031669,0.031669,4.0467,287.6,283.84,97.306,4.0467,416.58,411.42,275.27,4.0784,585.67,578.23,108.14
3843.8,0.64531,0.89375,1.5316,2.852,32.865,243.47,0.050337,0.050337,6.2907,285.12,270.14,83.239,6.2907,496.4,489.82,452.63,6.3411,606.99,589.49,118.31
5343.8,0.12031,0.79375,1.094,1.2347,27.812,298.69,0.030427,0.030427,3.6627,254.15,244.64,52.109,3.6627,429.4,424.01,251.46,3.6932,570.51,557.37,73.794
2343.8,0.47031,0.99375,3.0702,4.3004,28.333,388.76,0.086987,0.086987,7.8974,285.01,259.75,88.622,7.8974,536.94,530.6,618.74,7.9844,726.34,706.29,163.34
1593.8,0.032812,0.84375,2.0445,2.1087,24.675,349.05,0.050448,0.050448,5.8574,277.85,266.33,83.651,5.8574,472.47,466.47,419.57,5.9078,621.32,606.91,121.67
4593.8,0.38281,0.64375,0.23229,0.54445,86.869,91.797,0.020179,0.020179,2.5305,265.87,262.91,63.087,2.5305,377.17,372.48,164.41,2.5507,529.09,522.83,66.45
3093.8,0.20781,0.94375,2.475,2.9047,25.092,392.9,0.062103,0.062103,6.2993,270.36,249.37,71.394,6.2993,501.55,495.44,472.9,6.3614,665.53,646.86,124.93
93.75,0.55781,0.74375,0.44609,1.5176,76.112,78.94,0.033953,0.033953,5.6509,305.43,300.24,123.78,5.6509,448.93,442.56,374.71,5.6849,543.27,533.99,126.86
